player,18sp_KDA,18sp_KPAR,18sp_WR,18su_KDA,18su_KPAR,18su_WR,19sp_KDA,19sp_KPAR,19sp_WR,19su_KDA,19su_KPAR,19su_WR,20sp_KDA,20sp_KPAR,20sp_WR,20su_KDA,20su_KPAR,20su_WR,2019_Preseason,2019_Midseason,2020_Preseason,2020_Midseason,2021_Preseason
Key,3.0934054716210695,72.3688888888889,48.888888888888886,4.026351351351352,70.21333333333332,55.55555555555556,2.7817263908137,71.93414634146342,48.78048780487805,2.631715857928964,65.30476190476192,35.714285714285715, , , , , , ,0,0,1, , 
Khan,5.318636532048908,62.53783783783784,86.48648648648648,2.905799690365607,58.290909090909096,59.09090909090909,4.126220362622036,60.785999999999994,74.0,3.086156287187624,58.07142857142857,66.07142857142857, , , , , , ,0,0,1, , 
Kiin,3.7686929223744294,62.026530612244905,65.3061224489796,4.066717959991206,62.66842105263159,57.89473684210526,2.5055830663171186,59.72093023255814,32.55813953488372,2.877762027849579,57.963265306122445,55.10204081632653,2.458049007444169,65.1804347826087,41.30434782608695,2.48759882188808,58.54468085106383,48.93617021276596,0,0,0,0,0
Kingen, , , ,1.0,100.0,0.0,2.638888888888889,58.215384615384615,38.46153846153847,3.7623243629435588,57.95416666666667,50.0, , , , , , ,0,0,1, , 
Kramer,6.355369983762468,76.28333333333333,64.28571428571429,5.166666666666667,70.11818181818181,54.54545454545455, , , , , , , , , , , , ,1, , , , 
Kuri, , , , , , , , , , , , , , , ,1.2857142857142858,31.05,50.0, , ,1, ,1
Kuro,4.985588235294117,77.7204081632653,65.3061224489796,4.8540110816670685,69.20526315789475,57.89473684210526, , , , , , ,4.658446362515412,71.67551020408163,51.02040816326531,3.5841842276776013,62.403999999999996,44.0,1, ,1,0,1
Kuzan,0.14285714285714285,25.0,0.0,2.0,40.0,0.0, , , ,4.826086956521739,67.74736842105263,47.368421052631575, , , ,3.6007558074913857,68.07045454545455,36.36363636363637,1,1,1,0,1
Lava,3.709418604651163,79.2279069767442,51.162790697674424,3.4522370012091894,73.94444444444443,55.55555555555556,2.909090909090909,75.30909090909091,40.909090909090914,2.3653846153846154,70.37272727272726,27.27272727272727,2.5652173913043477,65.36363636363636,45.45454545454545,1.8527547537786448,65.40714285714286,7.142857142857142,0,0,0,0,1
Lehends, , , ,5.230459700036582,73.37843137254902,64.70588235294117,7.336050389032975,69.37857142857143,73.80952380952381,5.3591580832960135,67.63043478260869,65.21739130434783,2.6784187172246874,79.31999999999998,37.77777777777778,2.441171171171171,68.01904761904761,19.047619047619047,0,0,1,0,1
Life, , , , , , ,2.5085229808121374,73.8340909090909,36.36363636363637,5.038198498748957,75.83636363636364,54.54545454545454,4.832457181617772,64.11515151515152,66.66666666666667,4.464949494949495,61.7,72.72727272727273,0,0,0,0,0
Lindarang,2.824424163407215,62.03333333333333,48.888888888888886,2.4763569278570734,60.31555555555556,55.55555555555556,1.3023326264768254,62.689285714285724,10.714285714285714,1.430488731324386,50.371428571428574,14.285714285714285, , , , , , ,1,0, , , 
Malrang, , , , , , ,3.07426597582038,73.45416666666667,4.166666666666666,2.0557204088361356,73.59714285714287,8.571428571428571,1.9,82.84,0.0,2.0,66.9,40.0,1,0,1,0,1
Mata,5.955194485475136,73.38431372549019,62.745098039215684,3.4462860030318345,68.19166666666668,66.66666666666667,4.088479809976247,67.00399999999999,74.0,3.3333333333333335,65.63125,37.5, , , , , , ,1,0,1, , 
Mia, , , , , , , , , , , , ,2.8181818181818183,63.225,50.0,1.10431278913595,57.3,7.6923076923076925,0,1,1,0,1
Mightybear,1.25,75.0,0.0,5.0,100.0,0.0, , , , , , , , , , , , ,1,0, ,1, 
Mireu, , , , , , , , , , , , , , , ,2.0234144123664475,63.83571428571428,25.0, , , ,1,1
MooJin, , , , , , ,3.2222222222222223,76.86666666666666,66.66666666666666,2.3,97.14,0.0, , , , , , , ,1,1,1, 
Motive, , , ,1.8090476190476192,80.1375,25.0, , , , , , , , , , , , , ,0, ,0, 
Mowgli,7.871914609739826,79.31333333333333,66.66666666666667,4.0,62.27,50.0, , , , , , , , , , , , ,1, , , , 
Mystic, , , , , , , , , , , , ,2.8363505358912007,68.33095238095238,42.857142857142854,2.946946564885496,67.74255319148935,48.93617021276596, , ,1,0,1
Naehyun, , , , , , ,3.375,73.7,33.33333333333333,4.150302581202915,66.28695652173914,50.0,0.0,0.0,0.0, , , ,1,0,1,0, 
Nuclear, , , , , , ,4.781410256410256,69.9063829787234,55.319148936170215,5.634836918806385,66.4212765957447,59.57446808510638,3.773756660746004,64.96923076923076,42.30769230769231, , , ,0,0,0,0, 
Nuguri, , , , , , ,2.5096153846153846,62.51666666666668,58.33333333333332,3.1279669762641897,66.81777777777776,62.222222222222214,2.3014315685548565,65.86274509803921,50.980392156862756,5.33705797291968,57.33809523809524,88.0952380952381,0,0,0,0,1
OnFleek, , , , , , ,3.5473783954516738,66.49565217391304,63.04347826086956,3.054239073196419,70.59166666666665,56.25,2.6700434153400874,73.28620689655172,31.03448275862069,3.0977637047298634,73.94761904761906,40.476190476190474,0,0,0,0,0
PawN,4.469711821211527,74.01612903225806,61.29032258064516,1.0,71.4,0.0,4.835616438356165,64.06190476190474,69.04761904761904, , , , , , , , , ,0,0, , , 
